id,risk,center_x,center_y,lon,lat,fid,real_id,covered
305,5.0,6000.0,10000.0,-7.944,41.224,305,305,1
306,5.0,6000.0,9500.0,-7.944,41.219,306,306,1
307,5.0,6000.0,9000.0,-7.944,41.215,307,307,1
308,5.0,6000.0,8500.0,-7.944,41.21,308,308,1
309,5.0,6000.0,8000.0,-7.944,41.206,309,309,1
310,5.0,6000.0,7500.0,-7.944,41.201,310,310,1
311,4.0,6000.0,7000.0,-7.944,41.197,311,311,1
312,5.0,6000.0,6500.0,-7.944,41.192,312,312,1
313,5.0,6000.0,6000.0,-7.945,41.188,313,313,1
314,5.0,6000.0,5500.0,-7.945,41.183,314,314,1
330,3.0,6500.0,10000.0,-7.938,41.224,330,330,1
331,5.0,6500.0,9500.0,-7.938,41.219,331,331,1
332,5.0,6500.0,9000.0,-7.938,41.215,332,332,1
333,5.0,6500.0,8500.0,-7.938,41.21,333,333,1
334,5.0,6500.0,8000.0,-7.938,41.206,334,334,1
335,5.0,6500.0,7500.0,-7.939,41.201,335,335,1
336,3.0,6500.0,7000.0,-7.939,41.197,336,336,1
337,4.0,6500.0,6500.0,-7.939,41.192,337,337,1
338,3.0,6500.0,6000.0,-7.939,41.188,338,338,1
339,5.0,6500.0,5500.0,-7.939,41.183,339,339,1
355,5.0,7000.0,10000.0,-7.932,41.224,355,355,1
356,5.0,7000.0,9500.0,-7.932,41.219,356,356,1
357,5.0,7000.0,9000.0,-7.933,41.215,357,357,1
358,5.0,7000.0,8500.0,-7.933,41.21,358,358,1
359,5.0,7000.0,8000.0,-7.933,41.206,359,359,1
380,5.0,7500.0,10000.0,-7.927,41.224,380,380,1
381,5.0,7500.0,9500.0,-7.927,41.219,381,381,1
382,5.0,7500.0,9000.0,-7.927,41.215,382,382,1
383,4.0,7500.0,8500.0,-7.927,41.21,383,383,1
384,4.0,7500.0,8000.0,-7.927,41.206,384,384,1
407,4.0,8000.0,9000.0,-7.921,41.215,407,407,1
408,5.0,8000.0,8500.0,-7.921,41.21,408,408,1
409,4.0,8000.0,8000.0,-7.921,41.206,409,409,1
410,3.0,8000.0,7500.0,-7.921,41.201,410,410,1
411,3.0,8000.0,7000.0,-7.921,41.197,411,411,1
426,5.0,8500.0,12000.0,-7.915,41.242,426,426,1
427,5.0,8500.0,11500.0,-7.915,41.237,427,427,1
428,5.0,8500.0,11000.0,-7.915,41.233,428,428,1
429,5.0,8500.0,10500.0,-7.915,41.228,429,429,1
430,5.0,8500.0,10000.0,-7.915,41.224,430,430,1
432,5.0,8500.0,9000.0,-7.915,41.215,432,432,1
433,5.0,8500.0,8500.0,-7.915,41.21,433,433,1
434,5.0,8500.0,8000.0,-7.915,41.206,434,434,1
435,4.0,8500.0,7500.0,-7.915,41.201,435,435,1
436,5.0,8500.0,7000.0,-7.915,41.197,436,436,1
451,5.0,9000.0,12000.0,-7.909,41.242,451,451,1
452,5.0,9000.0,11500.0,-7.909,41.237,452,452,1
453,5.0,9000.0,11000.0,-7.909,41.233,453,453,1
454,5.0,9000.0,10500.0,-7.909,41.228,454,454,1
455,4.0,9000.0,10000.0,-7.909,41.224,455,455,1
457,5.0,9000.0,9000.0,-7.909,41.215,457,457,1
458,5.0,9000.0,8500.0,-7.909,41.21,458,458,1
459,5.0,9000.0,8000.0,-7.909,41.206,459,459,1
460,5.0,9000.0,7500.0,-7.909,41.201,460,460,1
461,5.0,9000.0,7000.0,-7.909,41.197,461,461,1
476,5.0,9500.0,12000.0,-7.903,41.242,476,476,1
477,5.0,9500.0,11500.0,-7.903,41.237,477,477,1
478,5.0,9500.0,11000.0,-7.903,41.233,478,478,1
479,5.0,9500.0,10500.0,-7.903,41.228,479,479,1
480,5.0,9500.0,10000.0,-7.903,41.224,480,480,1
482,5.0,9500.0,9000.0,-7.903,41.215,482,482,1
483,5.0,9500.0,8500.0,-7.903,41.21,483,483,1
484,5.0,9500.0,8000.0,-7.903,41.206,484,484,1
485,5.0,9500.0,7500.0,-7.903,41.201,485,485,1
486,5.0,9500.0,7000.0,-7.903,41.197,486,486,1
501,5.0,10000.0,12000.0,-7.897,41.242,501,501,1
502,5.0,10000.0,11500.0,-7.897,41.237,502,502,1
503,5.0,10000.0,11000.0,-7.897,41.233,503,503,1
504,5.0,10000.0,10500.0,-7.897,41.228,504,504,1
505,5.0,10000.0,10000.0,-7.897,41.224,505,505,1
507,5.0,10000.0,9000.0,-7.897,41.215,507,507,1
508,5.0,10000.0,8500.0,-7.897,41.21,508,508,1
509,5.0,10000.0,8000.0,-7.897,41.206,509,509,1
510,5.0,10000.0,7500.0,-7.897,41.201,510,510,1
511,5.0,10000.0,7000.0,-7.897,41.197,511,511,1
526,5.0,10500.0,12000.0,-7.891,41.242,526,526,1
527,5.0,10500.0,11500.0,-7.891,41.237,527,527,1
528,5.0,10500.0,11000.0,-7.891,41.233,528,528,1
529,5.0,10500.0,10500.0,-7.891,41.228,529,529,1
530,5.0,10500.0,10000.0,-7.891,41.224,530,530,1
531,5.0,10500.0,9500.0,-7.891,41.219,531,531,1
532,5.0,10500.0,9000.0,-7.891,41.215,532,532,1
533,5.0,10500.0,8500.0,-7.891,41.21,533,533,1
534,5.0,10500.0,8000.0,-7.891,41.206,534,534,1
535,5.0,10500.0,7500.0,-7.891,41.201,535,535,1
551,5.0,11000.0,12000.0,-7.885,41.242,551,551,1
552,5.0,11000.0,11500.0,-7.885,41.237,552,552,1
553,5.0,11000.0,11000.0,-7.885,41.233,553,553,1
554,5.0,11000.0,10500.0,-7.885,41.228,554,554,1
